2022-11-16T17:13:35.009319+0200 :: INFO :: https://pilotonline.com/sports/baseball/norfolk-tides/article_3f943377-01f2-5d9b-a6dc-0ee44a883c2f.html - unshorten
2022-11-16T17:13:35.558354+0200 :: INFO :: http://bit.ly/2FMHQiU - unshorten
2022-11-16T17:13:37.295957+0200 :: INFO :: http://etsy.me/2qJ85vR - unshorten
2022-11-16T17:13:38.056159+0200 :: INFO :: http://bit.ly/2biHgtk - unshorten
2022-11-16T17:13:38.858237+0200 :: INFO :: http://bit.ly/2nek2KU - unshorten
2022-11-16T17:13:41.268169+0200 :: INFO :: http://ti.me/2FW0Uap - unshorten
2022-11-16T17:13:42.377479+0200 :: INFO :: http://bit.ly/2GRNVbr - unshorten
2022-11-16T17:13:43.613010+0200 :: INFO :: https://wp.me/p14QSB-azoi - unshorten
2022-11-16T17:13:46.545200+0200 :: INFO :: https://blogs.mcafee.jp/blueborne-vulnerability-prevention - unshorten
2022-11-16T17:13:46.793683+0200 :: INFO :: http://bit.ly/2IBIwFG - unshorten
2022-11-16T17:13:47.326461+0200 :: INFO :: http://bit.ly/2FONGR5 - unshorten
2022-11-16T17:13:49.919013+0200 :: INFO :: https://mcafee.ly/2GLIHh2 - unshorten
2022-11-16T17:13:51.586417+0200 :: INFO :: http://ti.me/2FWwLYE - unshorten
2022-11-16T17:13:52.025433+0200 :: INFO :: https://www.instagram.com/p/BgkH12xHdqU/ - unshorten
2022-11-16T17:13:53.767632+0200 :: INFO :: http://bit.ly/2FSna9q - unshorten
2022-11-16T17:13:54.428086+0200 :: INFO :: http://nplsne.ws/2u5hXpg - unshorten
2022-11-16T17:13:55.299104+0200 :: INFO :: http://ow.ly/nDOI30j3DJv - unshorten
2022-11-16T17:13:55.659773+0200 :: INFO :: http://www.richmond.com/weather/update-winter-weather-advisory-issued-for-richmond-area-starting-at/article_0590ace4-cb51-5b82-b773-f8de89119c12.html - unshorten
2022-11-16T17:13:57.455158+0200 :: INFO :: http://ti.me/2IEFJLR - unshorten
2022-11-16T17:13:58.200018+0200 :: INFO :: http://bit.ly/2HQCIai - unshorten
2022-11-16T17:13:59.015328+0200 :: INFO :: http://for.tn/2FY9m9c - unshorten
2022-11-16T17:13:59.708413+0200 :: INFO :: http://bit.ly/2GKf3ZJ - unshorten
2022-11-16T17:14:00.195016+0200 :: ERROR :: http://bit.ly/2HSjxNf - cant unshorten
2022-11-16T17:14:00.784585+0200 :: INFO :: http://ow.ly/rl1g30j43k7 - unshorten
2022-11-16T17:14:01.345430+0200 :: INFO :: https://www.facebook.com/WINKNewsTV/videos/10156205378739161/ - unshorten
2022-11-16T17:14:03.617183+0200 :: INFO :: http://bit.ly/2G6QWX7 - unshorten
2022-11-16T17:14:04.157021+0200 :: INFO :: dict print
2022-11-16T17:14:04.157091+0200 :: INFO :: dict print
2022-11-16T17:14:04.158360+0200 :: INFO :: program finish
